,Unnamed: 0.1,Unnamed: 0,Bewohner,Eintrag,Miete,Größe,Stadtteil,frei ab,frei bis,Unnamed: 8,Lease term,EUR / SQM,Name,Neighbourhood,frei bis (Year - Month),Latitude,Longitude
541,541,,,20.04.2023,460.0,16,Berlin  Friedenau,2023-06-01,2023-07-20,,1.0,28.75,20.04.2023-460.0-28.75 Berlin  Friedenau,Berlin,2023-07,52.5170365,13.3888599
542,542,,,20.04.2023,495.0,17,Berlin  Neukölln,2023-04-28,2023-06-30,,2.0,29.11764705882353,20.04.2023-495.0-29.11764705882353 Berlin  Neukölln,Neukölln,2023-06,52.4811497,13.4353501
543,543,,,20.04.2023,430.0,20,Berlin  Charlottenburg,2023-04-25,2023-05-25,,1.0,21.5,20.04.2023-430.0-21.5 Berlin  Charlottenburg,Charlottenburg,2023-05,52.515747,13.3096834
544,544,,,20.04.2023,750.0,30,Berlin  Friedenau,2023-06-16,2023-09-09,,3.0,25.0,20.04.2023-750.0-25.0 Berlin  Friedenau,Berlin,2023-09,52.5170365,13.3888599
545,545,,,20.04.2023,540.0,11,Berlin  Mariendorf,2023-07-01,2023-11-30,,4.0,49.09090909090909,20.04.2023-540.0-49.09090909090909 Berlin  Mariendorf,Mariendorf,2023-11,52.44008,13.3900277
546,546,,,20.04.2023,400.0,24,Berlin  Marzahn,2023-05-01,,,,16.666666666666668,20.04.2023-400.0-16.666666666666668 Berlin  Marzahn,Marzahn,,52.5429481,13.563142
547,547,,,20.04.2023,490.0,12,Berlin  Prenzlauer Berg,2023-06-02,2023-08-26,,2.0,40.833333333333336,20.04.2023-490.0-40.833333333333336 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-08,52.5398466,13.4285652
548,548,,,20.04.2023,1000.0,45,Berlin  Berlin Mitte,2023-07-01,,,,22.22222222222222,20.04.2023-1000.0-22.22222222222222 Berlin  Berlin Mitte,Mitte,,52.5178855,13.4040601
549,549,,,20.04.2023,1280.0,18,Berlin,2023-05-13,2023-06-26,,1.0,71.11111111111111,20.04.2023-1280.0-71.11111111111111 Berlin,Berlin,2023-06,52.5170365,13.3888599
550,550,,,23.04.2023,430.0,25,Zimmer von HousingAnywhere*,2023-04-24,,,,17.2,23.04.2023-430.0-17.2 Zimmer von HousingAnywhere*,Berlin,,52.5170365,13.3888599
551,551,,,23.04.2023,410.0,15,Zimmer von Spotahome*,2023-04-24,,,,27.333333333333332,23.04.2023-410.0-27.333333333333332 Zimmer von Spotahome*,Berlin,,52.5170365,13.3888599
552,552,,,20.04.2023,220.0,17,Berlin  Neukölln,2023-05-07,2023-05-20,,0.0,12.941176470588236,20.04.2023-220.0-12.941176470588236 Berlin  Neukölln,Neukölln,2023-05,52.4811497,13.4353501
553,553,,,20.04.2023,640.0,13,Berlin,2023-05-15,2023-06-30,,1.0,49.23076923076923,20.04.2023-640.0-49.23076923076923 Berlin,Berlin,2023-06,52.5170365,13.3888599
554,554,,,20.04.2023,600.0,40,Berlin  Moabit,2023-05-01,2023-07-01,,2.0,15.0,20.04.2023-600.0-15.0 Berlin  Moabit,Moabit,2023-07,52.5301017,13.3425422
555,555,,,20.04.2023,35.0,14,Berlin  Prenzlauer Berg,2023-04-20,2023-05-18,,1.0,2.5,20.04.2023-35.0-2.5 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-05,52.5398466,13.4285652
556,556,,,20.04.2023,50.0,34,Berlin  Prenzlauer Berg,2023-04-28,2023-05-11,,1.0,1.4705882352941178,20.04.2023-50.0-1.4705882352941178 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-05,52.5398466,13.4285652
557,557,,,20.04.2023,550.0,17,Berlin  Berlin Mitte,2023-05-01,,,,32.35294117647059,20.04.2023-550.0-32.35294117647059 Berlin  Berlin Mitte,Mitte,,52.5178855,13.4040601
558,558,,,20.04.2023,700.0,25,Berlin  Prenzlauerberg,2023-05-01,2023-06-01,,1.0,28.0,20.04.2023-700.0-28.0 Berlin  Prenzlauerberg,Berlin,2023-06,52.5170365,13.3888599
559,559,,,20.04.2023,700.0,25,Berlin  Charlottenburg-Wilmersdorf,2023-05-01,2023-06-30,,1.0,28.0,20.04.2023-700.0-28.0 Berlin  Charlottenburg-Wilmersdorf,Charlottenburg,2023-06,52.515747,13.3096834
560,560,,,20.04.2023,600.0,23,Berlin  Wedding,2023-05-01,2023-06-23,,1.0,26.08695652173913,20.04.2023-600.0-26.08695652173913 Berlin  Wedding,Wedding,2023-06,52.550123,13.34197
561,561,,,20.04.2023,500.0,15,Berlin  Neukölln,2023-04-20,,,,33.333333333333336,20.04.2023-500.0-33.333333333333336 Berlin  Neukölln,Neukölln,,52.4811497,13.4353501
562,562,,,20.04.2023,500.0,15,Berlin  Neukölln,2023-04-20,2023-06-30,,2.0,33.333333333333336,20.04.2023-500.0-33.333333333333336 Berlin  Neukölln,Neukölln,2023-06,52.4811497,13.4353501
563,563,,,20.04.2023,900.0,25,Berlin  Schöneberg,2023-06-01,2023-06-30,,0.0,36.0,20.04.2023-900.0-36.0 Berlin  Schöneberg,Schöneberg,2023-06,52.482157,13.3551901
564,564,,,20.04.2023,650.0,25,Berlin  Friedrichshain,2023-05-01,,,,26.0,20.04.2023-650.0-26.0 Berlin  Friedrichshain,Friedrichshain,,52.5122154,13.4502904
565,565,,,20.04.2023,900.0,31,Berlin  Kreuzberg,2023-05-01,2024-07-31,,14.0,29.032258064516128,20.04.2023-900.0-29.032258064516128 Berlin  Kreuzberg,Kreuzberg,2024-07,52.4976443,13.411914
566,566,,,20.04.2023,670.0,13,Berlin  Treptow,2023-05-01,2023-05-31,,0.0,51.53846153846154,20.04.2023-670.0-51.53846153846154 Berlin  Treptow,Treptow,2023-05,54.0627026,15.2657157
567,567,,,20.04.2023,400.0,10,Berlin,2023-05-19,2023-06-04,,1.0,40.0,20.04.2023-400.0-40.0 Berlin,Berlin,2023-06,52.5170365,13.3888599
568,568,,,20.04.2023,500.0,25,Berlin  Neukölln,2023-05-15,2023-06-06,,1.0,20.0,20.04.2023-500.0-20.0 Berlin  Neukölln,Neukölln,2023-06,52.4811497,13.4353501
569,569,,,20.04.2023,670.0,18,Berlin  Friedenau,2023-04-20,2023-05-31,,1.0,37.22222222222222,20.04.2023-670.0-37.22222222222222 Berlin  Friedenau,Berlin,2023-05,52.5170365,13.3888599
570,570,,,20.04.2023,525.0,16,Berlin  Weißensee,2023-06-01,2023-12-01,,6.0,32.8125,20.04.2023-525.0-32.8125 Berlin  Weißensee,Weißensee,2023-12,52.5546193,13.4630018
571,571,,,20.04.2023,272.0,16,Berlin,2023-05-02,2023-05-21,,0.0,17.0,20.04.2023-272.0-17.0 Berlin,Berlin,2023-05,52.5170365,13.3888599
572,572,,,23.04.2023,430.0,14,Zimmer von HousingAnywhere*,2023-04-24,,,,30.714285714285715,23.04.2023-430.0-30.714285714285715 Zimmer von HousingAnywhere*,Berlin,,52.5170365,13.3888599
573,573,,,23.04.2023,420.0,23,Zimmer von Spotahome*,2023-04-24,,,,18.26086956521739,23.04.2023-420.0-18.26086956521739 Zimmer von Spotahome*,Berlin,,52.5170365,13.3888599
574,574,,,20.04.2023,150.0,12,Berlin  Lankwitz,2023-04-20,2023-05-20,,1.0,12.5,20.04.2023-150.0-12.5 Berlin  Lankwitz,Lankwitz,2023-05,52.4336977,13.3454858
575,575,,,20.04.2023,500.0,20,Berlin  Friedrichsfelde,2023-05-01,2023-06-01,,1.0,25.0,20.04.2023-500.0-25.0 Berlin  Friedrichsfelde,Berlin,2023-06,52.5170365,13.3888599
576,576,,,20.04.2023,740.0,13,Berlin,2023-06-01,,,,56.92307692307692,20.04.2023-740.0-56.92307692307692 Berlin,Berlin,,52.5170365,13.3888599
577,577,,,20.04.2023,600.0,15,Berlin  Moabit,2023-06-01,2023-08-31,,2.0,40.0,20.04.2023-600.0-40.0 Berlin  Moabit,Moabit,2023-08,52.5301017,13.3425422
578,578,,,20.04.2023,694.0,22,Berlin  Mahlsdorf,2023-05-01,,,,31.545454545454547,20.04.2023-694.0-31.545454545454547 Berlin  Mahlsdorf,Berlin,,52.5170365,13.3888599
579,579,,,20.04.2023,795.0,22,Berlin  Moabit,2023-04-28,2023-05-26,,1.0,36.13636363636363,20.04.2023-795.0-36.13636363636363 Berlin  Moabit,Moabit,2023-05,52.5301017,13.3425422
580,580,,,20.04.2023,370.0,10,Berlin  Wedding,2023-05-20,,,,37.0,20.04.2023-370.0-37.0 Berlin  Wedding,Wedding,,52.550123,13.34197
581,581,,,20.04.2023,500.0,10,Berlin  Pankow,2023-04-20,2023-12-01,,8.0,50.0,20.04.2023-500.0-50.0 Berlin  Pankow,Pankow,2023-12,52.5979174,13.435316
582,582,,,20.04.2023,650.0,20,Berlin  Berlin Mitte,2023-05-01,,,,32.5,20.04.2023-650.0-32.5 Berlin  Berlin Mitte,Mitte,,52.5178855,13.4040601
583,583,,,20.04.2023,649.0,30,Berlin  Wilmersdorf,2023-04-27,2023-09-30,,5.0,21.633333333333333,20.04.2023-649.0-21.633333333333333 Berlin  Wilmersdorf,Wilmersdorf,2023-09,52.4871152,13.3203298
584,584,,,20.04.2023,500.0,16,Berlin  Wedding,2023-04-24,2023-09-30,,5.0,31.25,20.04.2023-500.0-31.25 Berlin  Wedding,Wedding,2023-09,52.550123,13.34197
585,585,,,20.04.2023,5.0,16,Berlin  Gropiusstadt,2023-04-22,2023-04-24,,0.0,0.3125,20.04.2023-5.0-0.3125 Berlin  Gropiusstadt,Berlin,2023-04,52.5170365,13.3888599
586,586,,,20.04.2023,450.0,19,Berlin  Ruhleben,2023-03-11,,,,23.68421052631579,20.04.2023-450.0-23.68421052631579 Berlin  Ruhleben,Berlin,,52.5170365,13.3888599
587,587,,,20.04.2023,350.0,15,Berlin  Mitte,2019-01-25,2021-10-01,,33.0,23.333333333333332,20.04.2023-350.0-23.333333333333332 Berlin  Mitte,Mitte,2021-10,52.5178855,13.4040601
588,588,,,20.04.2023,600.0,10,Berlin  Charlottenburg-Wilmersdorf,2023-04-20,2023-06-30,,2.0,60.0,20.04.2023-600.0-60.0 Berlin  Charlottenburg-Wilmersdorf,Charlottenburg,2023-06,52.515747,13.3096834
589,589,,,20.04.2023,480.0,25,Berlin  Akazienkiez,2023-05-01,,,,19.2,20.04.2023-480.0-19.2 Berlin  Akazienkiez,Berlin,,52.5170365,13.3888599
590,590,,,20.04.2023,500.0,21,Berlin  Friedrichshain,2023-04-20,,,,23.80952380952381,20.04.2023-500.0-23.80952380952381 Berlin  Friedrichshain,Friedrichshain,,52.5122154,13.4502904
591,591,,,19.04.2023,690.0,10,Berlin  Neukölln,2023-05-01,,,,69.0,19.04.2023-690.0-69.0 Berlin  Neukölln,Neukölln,,52.4811497,13.4353501
592,592,,,19.04.2023,700.0,25,Berlin  Friedrichshain,2023-05-01,2023-06-30,,1.0,28.0,19.04.2023-700.0-28.0 Berlin  Friedrichshain,Friedrichshain,2023-06,52.5122154,13.4502904
593,593,,,19.04.2023,750.0,25,Berlin  Wedding,2023-05-25,2023-07-02,,2.0,30.0,19.04.2023-750.0-30.0 Berlin  Wedding,Wedding,2023-07,52.550123,13.34197
594,594,,,23.04.2023,510.0,22,Zimmer von HousingAnywhere*,2023-04-24,,,,23.181818181818183,23.04.2023-510.0-23.181818181818183 Zimmer von HousingAnywhere*,Berlin,,52.5170365,13.3888599
595,595,,,23.04.2023,470.0,19,Zimmer von Spotahome*,2023-04-24,,,,24.736842105263158,23.04.2023-470.0-24.736842105263158 Zimmer von Spotahome*,Berlin,,52.5170365,13.3888599
596,596,,,19.04.2023,600.0,24,Berlin,2023-04-19,,,,25.0,19.04.2023-600.0-25.0 Berlin,Berlin,,52.5170365,13.3888599
597,597,,,19.04.2023,585.0,16,Berlin  Charlottenburg - Nord,2023-04-19,,,,36.5625,19.04.2023-585.0-36.5625 Berlin  Charlottenburg - Nord,Charlottenburg,,52.515747,13.3096834
598,598,,,19.04.2023,715.0,16,Berlin  Neukölln,2023-05-01,2023-09-30,,4.0,44.6875,19.04.2023-715.0-44.6875 Berlin  Neukölln,Neukölln,2023-09,52.4811497,13.4353501
599,599,,,19.04.2023,700.0,25,Berlin  Karlshorst,2023-05-01,,,,28.0,19.04.2023-700.0-28.0 Berlin  Karlshorst,Karlshorst,,52.4843399,13.5235848
600,600,,,19.04.2023,700.0,11,Berlin  Lichtenberg,2023-05-01,,,,63.63636363636363,19.04.2023-700.0-63.63636363636363 Berlin  Lichtenberg,Lichtenberg,,48.9212959,7.4812268
601,601,,,19.04.2023,790.0,14,Berlin  Lichtenberg,2023-05-01,,,,56.42857142857143,19.04.2023-790.0-56.42857142857143 Berlin  Lichtenberg,Lichtenberg,,48.9212959,7.4812268
602,602,,,19.04.2023,460.0,15,Berlin  Wedding,2023-06-01,,,,30.666666666666668,19.04.2023-460.0-30.666666666666668 Berlin  Wedding,Wedding,,52.550123,13.34197
603,603,,,19.04.2023,430.0,20,Berlin  Berlin,2023-04-25,2023-05-25,,1.0,21.5,19.04.2023-430.0-21.5 Berlin  Berlin,Berlin,2023-05,52.5170365,13.3888599
604,604,,,19.04.2023,820.0,13,Berlin  Neukölln,2023-05-01,,,,63.07692307692308,19.04.2023-820.0-63.07692307692308 Berlin  Neukölln,Neukölln,,52.4811497,13.4353501
605,605,,,19.04.2023,350.0,11,Berlin  Gesundbrunnen,2023-05-01,2023-10-31,,5.0,31.818181818181817,19.04.2023-350.0-31.818181818181817 Berlin  Gesundbrunnen,Gesundbrunnen,2023-10,52.5509201,13.384846
606,606,,,19.04.2023,400.0,14,Berlin  Gesundbrunnen,2023-05-01,2023-10-31,,5.0,28.571428571428573,19.04.2023-400.0-28.571428571428573 Berlin  Gesundbrunnen,Gesundbrunnen,2023-10,52.5509201,13.384846
607,607,,,19.04.2023,890.0,16,Berlin  Alexanderplatz,2023-06-18,,,,55.625,19.04.2023-890.0-55.625 Berlin  Alexanderplatz,Berlin,,52.5170365,13.3888599
608,608,,,19.04.2023,590.0,28,Berlin  Kreuzberg,2023-06-01,2023-07-31,,1.0,21.071428571428573,19.04.2023-590.0-21.071428571428573 Berlin  Kreuzberg,Kreuzberg,2023-07,52.4976443,13.411914
609,609,,,19.04.2023,600.0,24,Berlin  Prenzlauer Berg,2023-05-01,,,,25.0,19.04.2023-600.0-25.0 Berlin  Prenzlauer Berg,Prenzlauer Berg,,52.5398466,13.4285652
610,610,,,19.04.2023,650.0,11,Berlin  Neukölln,2023-02-01,,,,59.09090909090909,19.04.2023-650.0-59.09090909090909 Berlin  Neukölln,Neukölln,,52.4811497,13.4353501
611,611,,,19.04.2023,775.0,25,Berlin  Neukölln,2023-02-21,,,,31.0,19.04.2023-775.0-31.0 Berlin  Neukölln,Neukölln,,52.4811497,13.4353501
612,612,,,19.04.2023,465.0,20,Berlin  Wedding,2023-05-01,2023-08-01,,3.0,23.25,19.04.2023-465.0-23.25 Berlin  Wedding,Wedding,2023-08,52.550123,13.34197
613,613,,,19.04.2023,535.0,20,Berlin  Charlottenburg-Wilmersdorf,2023-04-25,2023-08-01,,4.0,26.75,19.04.2023-535.0-26.75 Berlin  Charlottenburg-Wilmersdorf,Charlottenburg,2023-08,52.515747,13.3096834
614,614,,,19.04.2023,360.0,20,Berlin  Kreuzberg,2023-04-22,2023-07-31,,3.0,18.0,19.04.2023-360.0-18.0 Berlin  Kreuzberg,Kreuzberg,2023-07,52.4976443,13.411914
615,615,,,19.04.2023,480.0,15,Berlin  Neukölln,2023-05-01,2023-05-31,,0.0,32.0,19.04.2023-480.0-32.0 Berlin  Neukölln,Neukölln,2023-05,52.4811497,13.4353501
616,616,,,23.04.2023,440.0,17,Zimmer von HousingAnywhere*,2023-04-24,,,,25.88235294117647,23.04.2023-440.0-25.88235294117647 Zimmer von HousingAnywhere*,Berlin,,52.5170365,13.3888599
617,617,,,23.04.2023,420.0,24,Zimmer von Spotahome*,2023-04-24,,,,17.5,23.04.2023-420.0-17.5 Zimmer von Spotahome*,Berlin,,52.5170365,13.3888599
618,618,,,19.04.2023,150.0,15,Berlin  Gesundbrunnen,2023-05-01,2023-05-28,,0.0,10.0,19.04.2023-150.0-10.0 Berlin  Gesundbrunnen,Gesundbrunnen,2023-05,52.5509201,13.384846
619,619,,,19.04.2023,370.0,10,Berlin  Marzahn-Hellersdorf,2023-04-22,,,,37.0,19.04.2023-370.0-37.0 Berlin  Marzahn-Hellersdorf,Hellersdorf,,52.5366956,13.6048728
620,620,,,19.04.2023,651.0,20,Berlin  Friedrichshain-Kreuzberg,2023-05-01,2023-08-01,,3.0,32.55,19.04.2023-651.0-32.55 Berlin  Friedrichshain-Kreuzberg,Friedrichshain,2023-08,52.5122154,13.4502904
621,621,,,19.04.2023,590.0,15,Berlin  Friedenau,2023-05-01,,,,39.333333333333336,19.04.2023-590.0-39.333333333333336 Berlin  Friedenau,Berlin,,52.5170365,13.3888599
622,622,,,19.04.2023,580.0,24,Berlin  Mitte,2023-05-01,2024-04-30,,11.0,24.166666666666668,19.04.2023-580.0-24.166666666666668 Berlin  Mitte,Mitte,2024-04,52.5178855,13.4040601
623,623,,,19.04.2023,700.0,14,Berlin  Alt-Treptow,2023-05-01,2023-10-31,,5.0,50.0,19.04.2023-700.0-50.0 Berlin  Alt-Treptow,Treptow,2023-10,54.0627026,15.2657157
624,624,,,19.04.2023,950.0,50,Berlin  Friedrichshain,2023-05-01,2023-09-01,,4.0,19.0,19.04.2023-950.0-19.0 Berlin  Friedrichshain,Friedrichshain,2023-09,52.5122154,13.4502904
625,625,,,19.04.2023,680.0,28,Berlin  Neukölln,2023-05-01,2023-07-01,,2.0,24.285714285714285,19.04.2023-680.0-24.285714285714285 Berlin  Neukölln,Neukölln,2023-07,52.4811497,13.4353501
626,626,,,19.04.2023,590.0,10,Berlin  Pankow,2023-04-23,2023-06-30,,2.0,59.0,19.04.2023-590.0-59.0 Berlin  Pankow,Pankow,2023-06,52.5979174,13.435316
627,627,,,19.04.2023,390.0,12,Berlin  Hellersdorf,2023-05-01,,,,32.5,19.04.2023-390.0-32.5 Berlin  Hellersdorf,Hellersdorf,,52.5366956,13.6048728
628,628,,,19.04.2023,200.0,16,Berlin  Lichterfelde,2023-07-01,,,,12.5,19.04.2023-200.0-12.5 Berlin  Lichterfelde,Lichterfelde,,52.437293,13.3138645
629,629,,,19.04.2023,500.0,10,Berlin  Kreuzberg,2023-04-24,,,,50.0,19.04.2023-500.0-50.0 Berlin  Kreuzberg,Kreuzberg,,52.4976443,13.411914
630,630,,,19.04.2023,515.0,15,Berlin  Prenzlauer Berg,2023-06-01,2024-12-31,,18.0,34.333333333333336,19.04.2023-515.0-34.333333333333336 Berlin  Prenzlauer Berg,Prenzlauer Berg,2024-12,52.5398466,13.4285652
631,631,,,19.04.2023,500.0,14,Berlin  Weißensee,2023-04-29,2023-12-31,,8.0,35.714285714285715,19.04.2023-500.0-35.714285714285715 Berlin  Weißensee,Weißensee,2023-12,52.5546193,13.4630018
632,632,,,19.04.2023,420.0,14,Berlin  Moabit,2023-09-01,2024-03-31,,6.0,30.0,19.04.2023-420.0-30.0 Berlin  Moabit,Moabit,2024-03,52.5301017,13.3425422
633,633,,,19.04.2023,600.0,35,Berlin  Charlottenburg,2023-05-01,2023-10-31,,5.0,17.142857142857142,19.04.2023-600.0-17.142857142857142 Berlin  Charlottenburg,Charlottenburg,2023-10,52.515747,13.3096834
634,634,,,19.04.2023,750.0,15,Berlin  Kreuzberg,2023-04-19,2023-09-01,,5.0,50.0,19.04.2023-750.0-50.0 Berlin  Kreuzberg,Kreuzberg,2023-09,52.4976443,13.411914
635,635,,,19.04.2023,820.0,12,Berlin  Charlottenburg,2023-05-01,,,,68.33333333333333,19.04.2023-820.0-68.33333333333333 Berlin  Charlottenburg,Charlottenburg,,52.515747,13.3096834
636,636,,,19.04.2023,800.0,20,Berlin,2023-03-22,2023-12-22,,9.0,40.0,19.04.2023-800.0-40.0 Berlin,Berlin,2023-12,52.5170365,13.3888599
637,637,,,19.04.2023,350.0,14,Berlin  Friedrichshain,2023-05-03,2023-05-21,,0.0,25.0,19.04.2023-350.0-25.0 Berlin  Friedrichshain,Friedrichshain,2023-05,52.5122154,13.4502904
638,638,,,23.04.2023,440.0,17,Zimmer von HousingAnywhere*,2023-04-24,,,,25.88235294117647,23.04.2023-440.0-25.88235294117647 Zimmer von HousingAnywhere*,Berlin,,52.5170365,13.3888599
639,639,,,23.04.2023,410.0,25,Zimmer von Spotahome*,2023-04-24,,,,16.4,23.04.2023-410.0-16.4 Zimmer von Spotahome*,Berlin,,52.5170365,13.3888599
640,640,,,19.04.2023,650.0,18,Berlin  Kreuzberg,2023-04-22,2023-05-22,,1.0,36.111111111111114,19.04.2023-650.0-36.111111111111114 Berlin  Kreuzberg,Kreuzberg,2023-05,52.4976443,13.411914
641,641,,,19.04.2023,470.0,18,Berlin  Buch,2023-04-19,,,,26.11111111111111,19.04.2023-470.0-26.11111111111111 Berlin  Buch,Buch,,50.2051609,7.8759628
642,642,,,19.04.2023,390.0,16,Berlin  Friedrichshain,2023-10-10,2023-11-02,,1.0,24.375,19.04.2023-390.0-24.375 Berlin  Friedrichshain,Friedrichshain,2023-11,52.5122154,13.4502904
643,643,,,19.04.2023,637.0,21,Berlin  Lankwitz,2023-05-01,,,,30.333333333333332,19.04.2023-637.0-30.333333333333332 Berlin  Lankwitz,Lankwitz,,52.4336977,13.3454858
644,644,,,19.04.2023,500.0,20,Berlin  Friedrichshagen,2023-04-30,2023-05-21,,1.0,25.0,19.04.2023-500.0-25.0 Berlin  Friedrichshagen,Berlin,2023-05,52.5170365,13.3888599
645,645,,,19.04.2023,180.0,20,Berlin,2023-04-19,2023-04-27,,0.0,9.0,19.04.2023-180.0-9.0 Berlin,Berlin,2023-04,52.5170365,13.3888599
646,646,,,19.04.2023,187.0,12,Berlin  Neukölln,2023-05-03,2023-05-14,,0.0,15.583333333333334,19.04.2023-187.0-15.583333333333334 Berlin  Neukölln,Neukölln,2023-05,52.4811497,13.4353501
647,647,,,19.04.2023,630.0,55,Berlin  Neukölln,2023-05-01,2023-06-01,,1.0,11.454545454545455,19.04.2023-630.0-11.454545454545455 Berlin  Neukölln,Neukölln,2023-06,52.4811497,13.4353501
648,648,,,19.04.2023,520.0,20,Berlin  Moabit,2023-06-01,2023-07-02,,1.0,26.0,19.04.2023-520.0-26.0 Berlin  Moabit,Moabit,2023-07,52.5301017,13.3425422
649,649,,,19.04.2023,700.0,25,Berlin,2023-04-19,,,,28.0,19.04.2023-700.0-28.0 Berlin,Berlin,,52.5170365,13.3888599
650,650,,,19.04.2023,690.0,15,Berlin  Tegel,2023-04-13,2023-08-01,,4.0,46.0,19.04.2023-690.0-46.0 Berlin  Tegel,Tegel,2023-08,52.5873891,13.2790461
651,651,,,19.04.2023,45.0,30,Berlin  Prenzlauer Berg,2023-05-01,2023-12-31,,7.0,1.5,19.04.2023-45.0-1.5 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-12,52.5398466,13.4285652
652,652,,,19.04.2023,790.0,40,Berlin  Wilmersdorf,2023-04-19,,,,19.75,19.04.2023-790.0-19.75 Berlin  Wilmersdorf,Wilmersdorf,,52.4871152,13.3203298
653,653,,,19.04.2023,340.0,18,Berlin  Friedrichshain,2023-05-02,2023-05-31,,0.0,18.88888888888889,19.04.2023-340.0-18.88888888888889 Berlin  Friedrichshain,Friedrichshain,2023-05,52.5122154,13.4502904
654,654,,,19.04.2023,598.0,11,Berlin  Gesundbrunnen,2023-04-21,2023-05-31,,1.0,54.36363636363637,19.04.2023-598.0-54.36363636363637 Berlin  Gesundbrunnen,Gesundbrunnen,2023-05,52.5509201,13.384846
655,655,,,19.04.2023,615.0,22,Berlin  Steglitz-Zehlendorf,2023-05-01,2023-10-31,,5.0,27.954545454545453,19.04.2023-615.0-27.954545454545453 Berlin  Steglitz-Zehlendorf,Steglitz,2023-10,52.4572569,13.3222865
656,656,,,19.04.2023,750.0,14,Berlin,2023-07-01,,,,53.57142857142857,19.04.2023-750.0-53.57142857142857 Berlin,Berlin,,52.5170365,13.3888599
657,657,,,19.04.2023,850.0,24,Berlin  Gropiusstadt,2023-04-19,2023-05-31,,1.0,35.416666666666664,19.04.2023-850.0-35.416666666666664 Berlin  Gropiusstadt,Berlin,2023-05,52.5170365,13.3888599
658,658,,,19.04.2023,455.0,15,Berlin  Spandau,2023-05-01,,,,30.333333333333332,19.04.2023-455.0-30.333333333333332 Berlin  Spandau,Spandau,,52.535788,13.1977924
659,659,,,19.04.2023,680.0,10,Berlin  Prenzlauer Berg,2023-05-01,2024-02-28,,9.0,68.0,19.04.2023-680.0-68.0 Berlin  Prenzlauer Berg,Prenzlauer Berg,2024-02,52.5398466,13.4285652
660,660,,,23.04.2023,420.0,21,Zimmer von HousingAnywhere*,2023-04-24,,,,20.0,23.04.2023-420.0-20.0 Zimmer von HousingAnywhere*,Berlin,,52.5170365,13.3888599
661,661,,,23.04.2023,400.0,25,Zimmer von Spotahome*,2023-04-24,,,,16.0,23.04.2023-400.0-16.0 Zimmer von Spotahome*,Berlin,,52.5170365,13.3888599
662,662,,,19.04.2023,350.0,25,Berlin  Kreuzberg,2023-04-22,2023-05-07,,1.0,14.0,19.04.2023-350.0-14.0 Berlin  Kreuzberg,Kreuzberg,2023-05,52.4976443,13.411914
663,663,,,19.04.2023,450.0,20,Berlin  Neukölln,2023-05-01,2023-05-31,,0.0,22.5,19.04.2023-450.0-22.5 Berlin  Neukölln,Neukölln,2023-05,52.4811497,13.4353501
664,664,,,19.04.2023,600.0,20,Berlin  Lichtenberg Rummelsburg,2023-04-19,2023-04-20,,0.0,30.0,19.04.2023-600.0-30.0 Berlin  Lichtenberg Rummelsburg,Lichtenberg,2023-04,48.9212959,7.4812268
665,665,,,19.04.2023,225.0,27,Berlin  Wedding,2023-04-22,2023-05-02,,1.0,8.333333333333334,19.04.2023-225.0-8.333333333333334 Berlin  Wedding,Wedding,2023-05,52.550123,13.34197
666,666,,,19.04.2023,550.0,12,Berlin  Prenzlauer Berg,2023-05-01,2023-06-12,,1.0,45.833333333333336,19.04.2023-550.0-45.833333333333336 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-06,52.5398466,13.4285652
667,667,,,19.04.2023,580.0,21,Berlin  Wedding Mitte,2023-05-01,2023-07-06,,2.0,27.61904761904762,19.04.2023-580.0-27.61904761904762 Berlin  Wedding Mitte,Mitte,2023-07,52.5178855,13.4040601
668,668,,,19.04.2023,590.0,26,Berlin  Steglitz,2023-04-28,2023-09-30,,5.0,22.692307692307693,19.04.2023-590.0-22.692307692307693 Berlin  Steglitz,Steglitz,2023-09,52.4572569,13.3222865
669,669,,,19.04.2023,600.0,24,Berlin  Wedding,2023-05-01,,,,25.0,19.04.2023-600.0-25.0 Berlin  Wedding,Wedding,,52.550123,13.34197
670,670,,,19.04.2023,700.0,20,Berlin  Friedrichshain,2023-04-28,2023-07-28,,3.0,35.0,19.04.2023-700.0-35.0 Berlin  Friedrichshain,Friedrichshain,2023-07,52.5122154,13.4502904
671,671,,,19.04.2023,650.0,22,Berlin  Mitte,2023-05-01,,,,29.545454545454547,19.04.2023-650.0-29.545454545454547 Berlin  Mitte,Mitte,,52.5178855,13.4040601
672,672,,,19.04.2023,570.0,20,Berlin  Berlin,2023-05-01,2023-10-01,,5.0,28.5,19.04.2023-570.0-28.5 Berlin  Berlin,Berlin,2023-10,52.5170365,13.3888599
673,673,,,19.04.2023,390.0,10,Berlin  Berlin Biesdorf,2023-05-01,2023-07-31,,2.0,39.0,19.04.2023-390.0-39.0 Berlin  Berlin Biesdorf,Berlin,2023-07,52.5170365,13.3888599
